"Slug","Blog Title","Blog Text","Blog Introduction","Blog Picture","Blog Picture:alt","Date","Author"
"new-wednesday-night-offerings","New Wednesday Night Offerings","<p>Central has Wednesday night classes for all ages, with the Children's and Youth Ministries offering classes for their ages, and a rotating slate of classes for adults. All classes begin at 6:30 pm. In the fall of 2024, we have four different Wednesday night offerings for adults to choose from: </p><h2>Following Moses to Freedom</h2><p>Abbie Miller is teaching a class for women that looks at the story of Moses as a lens for how we can experience God's freedom in our of lives. </p><h2>Practicing the Way</h2><p>Chad Tappe and Steven Hovater are leading a group through John Mark Comer's study, <em>Practicing the Way.</em> This series will be looking at Christianity as a way of life, with particular practices giving it structure. This class is open to everybody.</p><h2>Marriage</h2><p>Shannon Cooper and other guests are leading a class for married men and women. A different couple will join Shannon each week to share what they've learned through the marriage journey.  </p><h2>The Mix</h2><p>Meech Geter leads a group of Emerging Adults (18-25) at the Mix, which is currently studying through Paul's Epistles.  </p>","","https://framerusercontent.com/images/QV5DPjMQDYMnZSn2boSpdEZc7o.png","","2024-09-04T00:00:00.000Z",""
"demons-at-church","Demons at Church","<p>The gospel of Mark has no shortage of stories where Jesus encounters demons. Remarkably, the first time we Jesus encountering—and exorcising—an evil spirit is…at church! </p><p>Actually, it was a synagogue, one of the gathering spaces for Jews to gather and worship. I used the word ""church"" not because I want to erase the Jewishness of the space, but rather because I want to underline the commonality of experience between this episode and my own community. I risk the change from ""synagogue"" to ""church"", as problematic as that is, because I want to highlight that this demon shows up at a religious gathering. What an improbable place to find a demon in the first place! </p><p>And yet, too many people know the deep hurt of having received some of the deepest wounds in church contexts. The headlines uncovering stories abuse are sensational enough, but the truth is that for each story that reaches the papers, there are scores of other people who have suffered from reckless practices and toxic theologies, or who have known the violence of abuse or the destructive power of manipulative predators. Common gossip and slander have cut innumerable souls to pieces, and the church often struggles to display the love upon which it was founded.</p><p>Demons indeed. </p><p>It's telling that in Mark, Jesus's assault on the demonic powers begins in a religious gathering. The good people gathered their for worship may or may not have been surprised when an unclean spirit was unmasked before their eyes…but I'd be surprised if they were completely naive of the potential for evil that lurks within humans—even those who gather to listen to the word of God. </p><p>The good news of the gospel is that even here, in the most outlandish sanctuary of evil, Jesus goes to work sending the demons away. The church—as much as anybody else!—needs the Lord to counter the forces of evil that live among us. <br><br>And thanks be to God…He does! </p><p>God meets us. God speaks. God's spirit moves to show us the truth, and to turn away the deceptive illusions of evil that would have their way with us. </p>","The gospel of Mark has no shortage of stories where Jesus encounters demons. Remarkably, the first time we Jesus encountering—and exorcising—an evil spirit is…at church! ","https://framerusercontent.com/images/yAi4O5jtI1ADkmR7TSZAgDGDM.jpg","","2024-05-28T00:00:00.000Z","Steven Hovater"
"prayer-and-the-love-of-god","Prayer and the Love of God","<p>“<em>The number one obstacle the modern person faces when it comes to prayer is an inability to receive the love of God.</em>”</p><p>-Tyler Staton</p><p>As we near the end of February, take this day to open your heart more fully to the love of God. </p><p>For many disciples, even after years of following Jesus, we find that we still have some reluctance to fully receiving his love, holdout parts of our selves that still want to resist the full-blown love of God. &nbsp;</p><p>Today, explore your own heart. How ready to receive and dwell in the love of God are you? What resistance is still operative in your being? &nbsp;</p><p>In prayer, ask God’s Spirit to open your own heart, piece by piece to his love. Ask God to show you more and more of his love, and pull you into a deeper knowledge of his love. </p><p>May your experience of God’s love deepen your capacity for prayer, and may your prayers deepen your experience of God’s love! </p><p><em>“I pray that, according to the riches of his glory, he may grant that you may be strengthened in your inner being with power through his Spirit, and that Christ may dwell in your hearts through faith, as you are being rooted and grounded in love. I pray that you may have the power to comprehend, with all the saints, what is the breadth and length and height and depth, and to know the love of Christ that surpasses knowledge, so that you may be filled with all the fullness of God.”</em> </p><p>- Eph 3:16–19</p>","“The number one obstacle the modern person faces when it comes to prayer is an inability to receive the love of God.” -Tyler Staton","https://framerusercontent.com/images/Zjk771Ep348xdcXESK8hms1ggqw.jpg","","2023-02-27T00:00:00.000Z","Steven Hovater"
"deliverance-belongs-to-the-lord","Deliverance Belongs to the Lord!","<p>Today, pray through this <em>deep</em> prayer from the Bible…it comes from Jonah, chapter 2. </p><p><em>I called to the LORD out of my distress, <br> and he answered me; </em></p><p><em>out of the belly of Sheol I cried, <br> and you heard my voice.</em></p><p><em>You cast me into the deep, <br> into the heart of the seas, <br> and the flood surrounded me; <br> all your waves and your billows passed over me.</em></p><p><em>Then I said, ‘I am driven away from your sight; <br> how shall I look again upon your holy temple?’</em></p><p><em>The waters closed in over me; <br> the deep surrounded me; <br> weeds were wrapped around my head</em></p><p><em>at the roots of the mountains. </em></p><p><em>I went down to the land whose bars closed upon me forever; yet you brought up my life from the Pit, O LORD my God.</em></p><p><em> As my life was ebbing away, I remembered the LORD; </em></p><p><em>and my prayer came to you, </em></p><p><em>into your holy temple.</em></p><p><em>Those who worship vain idols forsake their true loyalty.</em></p><p><em>But I with the voice of thanksgiving will sacrifice to you; </em></p><p><em>what I have vowed I will pay. </em></p><p><em>Deliverance belongs to the LORD!</em><a href=""https://www.arcentralchurch.org/central-message/prayer-and-the-love-of-god""><br></a></p>","Today, pray through this deep prayer from the Bible…it comes from Jonah, chapter 2.","https://framerusercontent.com/images/i4R3ML8hLCNyJRpLFG8VRzJveAc.jpg","","2023-02-26T00:00:00.000Z","Steven Hovater"
"help-thanks-wow","Help, Thanks, Wow","<p><em>“My three prayers are variations on Help, Thanks, Wow. That's all I'll ever need, besides the silence, the pain, and the pause sufficient for me to stop, close my eyes, and turn inward.” </em></p><p>- Anne Lamott</p><p>I’ve always loved this framework of prayer from Anne Lamott. I think she’s on to something in its raw simplicity. </p><p>At times, I can see myself drifting into seasons of prayer that lean towards one more than the others. I’ve had “Thanks” seasons and “Wow” seasons, and Lord knows I’ve had plenty of “Help” seasons, too! Does one of those describe this season of prayer for you more than the others? </p><p>Today, let your prayer be structured by this simple “Help, Thanks, Wow” framework. Beginning with “Help!”, let your prayers be simply for God’s aid and deliverance, both for you and those you know and love. </p><p>Moving towards “Thanks!”, spend a few moments dwelling on places where you’ve received God’s grace or blessing. Allow yourself to be moved towards gratitude. </p><p>Finish with “Wow!” My most reliable source of Wow prayers are probably the majesty of creation and the long overarching drama of how god saves the world by his son Jesus. </p><p>Help…Thanks…Wow. Beyond those three words, what more do you really need?</p>","“My three prayers are variations on Help, Thanks, Wow. That's all I'll ever need, besides the silence, the pain, and the pause sufficient for me to stop, close my eyes, and turn inward.” ","https://framerusercontent.com/images/yMGXxwyBtp90C7ZtCV1G46vF68.jpg","","2023-02-24T00:00:00.000Z","Steven Hovater"
"for-our-enemies","For Our Enemies","<p><em>“If a man wants God to hear his prayer quickly, then before he prays for anything else, even his own soul, when he stands and stretches out his hands towards God, he must pray with all his heart for his enemies. Through this action God will hear everything that he asks.”</em></p><p><em>- Abba Zeno</em></p><p>Oh, that this advice from the desert father Abba Zeno wasn’t so much easier said than done! </p><p>And yet, it is a good practice to ensure that our prayers don’t become too rooted in our own agenda, too immune from interests that are not our own. </p><p>Today, maybe you bear no ill will todays anyone. But search your heart. If you can find any latent grudge towards another person, or bear any animosity towards anyone who might be called your enemy, begin your prayer today by praying as wholeheartedly as you can for them. </p><p>Pray that God will bless them, that he will bring them honor, and redemption and salvation. Pray that God will bring them a full and complete joy. &nbsp;</p><p>Try to do this as unconditionally as possible—don’t pray for them only under a cloud of what you would change about them, even though some of those might be good changes indeed. Rather, simply give yourself to praying <em>for them. &nbsp;</em> &nbsp;</p><p>‍</p>","“If a man wants God to hear his prayer quickly, then before he prays for anything else, even his own soul, when he stands and stretches out his hands towards God, he must pray with all his heart for his enemies. Through this action God will hear everything that he asks.”","https://framerusercontent.com/images/sy7pE3kfAO7Kyc9X39etPOoKsw.jpg","","2023-02-23T00:00:00.000Z","Steven Hovater"
"attention","Attention","<p>I often think of prayer as “sacred attention”. Attention is at the very heart of prayer—and not just <em>our</em> attention.</p><p>While I write this, Birdie, our too-large puppy, &nbsp;is using all of her fluffy self to try and get my attention. She butts her head against my legs. She wriggles her nose underneath my elbow. She went and got a squeaky gingerbread-man toy and chomped on it a billion times—right by my ear. &nbsp;Finally, she dropped it on my laptop’s keyboard. &nbsp;</p><p>She is totally <em>begging</em> for attention. </p><p>I want you to know, this is <em>absolutely nothing</em> like prayer. </p><p>In prayer, we need not demand God’s attention, or do tricks to earn it. As we turn our attention to God, we can know that his attention, his infinite and loving attention, is already on us. We pray to a God who is already listening, watching, waiting for us to return to the conversation. &nbsp;</p><p>Attention is in short supply in our world. I know mine often feels pulled in a billion directions. It is impossible for me to grasp God as a being with infinite attention—but that is God’s nature. </p><p>Many of us feel desperate to know that anybody is giving us the attention we are starved to receive. </p><p>And yet, God waits for us. </p><p>God waits, fully attentive, for you and me.</p>","I often think of prayer as “sacred attention”. Attention is at the very heart of prayer—and not just our attention.","https://framerusercontent.com/images/XhAWQfwwk7erHagUA8Oe8AcvH7s.jpg","","2023-02-22T00:00:00.000Z","Steven Hovater"
"surrender","Surrender","<p>It is in surrendering to the will of the One with all authority we enjoy freedom. Contrary to popular modern theory, giving up is winning. Our nature doesn’t like this narrative. Jesus liked nothing better than to throw a wrench in the plans of the religious know-it-alls and showing how the plans of God’s Kingdom run counter to human expectations. </p><p>Especially in the practice of prayer, rather than composing David-ish prose, Jesus keeps its real and keeps it simple. He breaks down the basics of prayer and most importantly mimics the form of what he has taught. Take a look at Matthew chapter 6 and chapter 26. There’s the Teacher, teaching by example. &nbsp;</p><p>“<em>Father, your will be done.</em>”</p><p>“<em>Not my will, but yours</em>.”</p><p>Using a simple liturgy, Jesus demonstrates giving away getting his way as the exemplary prayer. Jesus’ love took the same form, giving power away for the benefit of others. When we pray, seeking in our hearts a posture of surrender, we receive the peace and presence of God in our hardest moments—just as Jesus did in his.</p>","It is in surrendering to the will of the One with all authority we enjoy freedom.","https://framerusercontent.com/images/kuTgteKWbEwFswtpUIUFHgsc.jpg","","2023-02-20T00:00:00.000Z","Steven Hovater"
"thank-you","Thank you","<p>Let your prayer today revolve around gratitude. </p><p>I suggest a small/big/small/big sort of rhythm, where you begin by praying for very simple, concrete things, like your morning coffee or the warmth of your bed. Give thanks for the movements of your fingers and the beating of your heart. Give thanks for breath. Give thanks for a moment of laughter, or for a chance to see somebody you love. You get the idea. </p><p>And then, let these little things move you to giving thanks for some of the bigger, maybe a little more abstract, things in your life. Give thanks for the love you share with people, or for the chance to have fruitful relationships or work. Give thanks for God’s grace and mercy. &nbsp;Give thanks for life itself. &nbsp;</p><p>After a while, move back to giving thanks for some more small, simple, concrete things. &nbsp;And then back to the bigger themes. Go on like this for a long as you wish, deepening your gratitude as you go. &nbsp;</p><p>We will never get to the bottom of the list of things for which we may give thanks. </p><p>Bring it all to God, who is the Giver of all good things.</p>","“If the only prayer you ever say in your entire life is ‘thank you’, it will be enough.”","https://framerusercontent.com/images/CZPeybUt9oSGfJGm4EKTPInTQI.jpg","","2023-02-15T00:00:00.000Z","Steven Hovater"
"beloved","Beloved","<p><em>“But truly God has listened; <br>he has given heed to the words of my prayer. &nbsp;<br>Blessed be God, because he has not rejected my prayer <br> or removed his steadfast love from me.”</em></p><p>Psalm 66:19–20</p><p>Today, pray in full confidence that you are loved by God! By the testimony of the cross, God has declared you to be one of his beloved children, one with whom he eagerly desires to spend eternity! He is not begrudgingly allowing you in or only half-hearted concerned with you. He is fully invested, fully devoted to pursuing you in love. &nbsp;</p><p>So pray in confidence of that love! Let your prayer begin by acknowledging it, and by giving great thanks for it! The Lord who awaits you in prayer deeply loves you!</p>","But truly God has listened; he has given heed to the words of my prayer. Blessed be God, because he has not rejected my prayer or removed his steadfast love from me.","https://framerusercontent.com/images/Zy13eLuCkfcd0r5D3pUHi2prY.jpg","","2023-02-14T00:00:00.000Z","Steven Hovater"
